org_id remap_id freebase_id
0000031887 0 item_0000031887
0742403920 1 item_0742403920
B00001TOXD 2 item_B00001TOXD
B00001TPZJ 3 item_B00001TPZJ
B00001W0F2 4 item_B00001W0F2
B00001W0KA 5 item_B00001W0KA
B000034DKX 6 item_B000034DKX
B000034DKZ 7 item_B000034DKZ
B000051SEP 8 item_B000051SEP
B00005JHKE 9 item_B00005JHKE
B00005TQI7 10 item_B00005TQI7
B000072YV5 11 item_B000072YV5
B000074RL3 12 item_B000074RL3
B00009QMR3 13 item_B00009QMR3
B00009TD4D 14 item_B00009TD4D
B0000ACNBB 15 item_B0000ACNBB
B0000AI44G 16 item_B0000AI44G
B0000AT3NT 17 item_B0000AT3NT
B0000AUTD6 18 item_B0000AUTD6
B0000AX6DE 19 item_B0000AX6DE
B0000BVGNJ 20 item_B0000BVGNJ
B0000C11OK 21 item_B0000C11OK
B0000C6EBO 22 item_B0000C6EBO
B0000CNR1L 23 item_B0000CNR1L
B0000DYNCP 24 item_B0000DYNCP
B0000DYNJ3 25 item_B0000DYNJ3
B0000DZUZ1 26 item_B0000DZUZ1
B0000E0125 27 item_B0000E0125
B0000E015O 28 item_B0000E015O
B0000E1VW7 29 item_B0000E1VW7
B0000E1VWF 30 item_B0000E1VWF
B0000TIJ7C 31 item_B0000TIJ7C
B0000TSQ8E 32 item_B0000TSQ8E
B0000TSQ8Y 33 item_B0000TSQ8Y
B0000UQV9E 34 item_B0000UQV9E
B0000UZ5P0 35 item_B0000UZ5P0
B0000ZU38E 36 item_B0000ZU38E
B00012FFMA 37 item_B00012FFMA
B00015VJEU 38 item_B00015VJEU
B0001BUK9E 39 item_B0001BUK9E
B0001I4TXU 40 item_B0001I4TXU
B0001IXBHU 41 item_B0001IXBHU
B0001UF4CS 42 item_B0001UF4CS
B0001VNCJ4 43 item_B0001VNCJ4
B0001VWSFS 44 item_B0001VWSFS
B0001WD5RC 45 item_B0001WD5RC
B0001XPC9A 46 item_B0001XPC9A
B0001YROC2 47 item_B0001YROC2
B0001YWBG6 48 item_B0001YWBG6
B0001ZNZF6 49 item_B0001ZNZF6
B0001ZNZJM 50 item_B0001ZNZJM
